kurum_adi,sehir,tur,segment,tier,email,email_confidence,website
BAYRAMPAŞA NÖBETÇİ 7/24 VETERİNER PET ADDRESS VETERİNER POLİKLİNİĞİ,İstanbul,poliklinik,mid,1,info@petaddress.com.tr,low,https://www.petaddress.com.tr/
Boğaziçi Veteriner Polikliniği,İstanbul,poliklinik,mid,1,info@bogaziciveteriner.com,high,http://www.bogaziciveteriner.com/
VETART VETERİNER POLİKLİNİĞİ,İstanbul,poliklinik,mid,1,info@vetart.com.tr,high,http://www.vetart.com.tr/
LUCKY PET VETERİNER POLİKLİNİĞİ,İstanbul,poliklinik,mid,1,luckypet@luckypet.com.tr,high,https://luckypet.com.tr/
Papsi Veteriner Polikliniği,İstanbul,poliklinik,mid,1,info@papsivet.com,high,http://www.papsivet.com/
Nişantaşı Veteriner Polikliniği,İstanbul,poliklinik,mid,1,info@nisantasiveteriner.com,low,http://www.nisantasiveteriner.com/
GAZİOSMANPAŞA VETERİNER PET İSTANBUL VETERİNER POLİKLİNİĞİ,İstanbul,poliklinik,mid,1,info@petistanbul.com,low,http://www.petistanbul.com/
Yenitepe Veteriner Polikliniği 7/24 Acil Müdahale,İstanbul,poliklinik,mid,1,yenitepevet@gmail.com,high,https://yenitepeveteriner.com/
Florya Hayvan Hastanesi,İstanbul,hastane,hospital,1,info@floryavet.com,high,https://floryavet.com/
İstanbul Hayvan Hastanesi,İstanbul,hastane,hospital,1,istanbulhayvanhastanesi@gmail.com,high,http://www.isthayvanhastanesi.com/
"",,,,,,,
PETVET HAYVAN HASTANESİ,İstanbul,hastane,hospital,1,bilgi@petvethayvanhastanesi.com,high,http://www.petvethayvanhastanesi.com/
Anatolia Hayvan Hastanesi,İstanbul,hastane,hospital,1,info@anatoliapet.com,low,https://www.anatoliapet.com/
VetAmerikan Hayvan Hastanesi,İstanbul,hastane,hospital,1,info@vetamerikan.org,high,https://www.vetamerikan.org/
Clubvet Hayvan Hastanesi,İstanbul,hastane,hospital,1,info@clubvet.com.tr,low,https://www.clubvet.com.tr/
ÖZEL TRAKYA HAYVAN HASTANESİ (Veteriner Çorlu),İstanbul,hastane,hospital,1,info@trakyahayvanhastanesi.com,low,http://www.trakyahayvanhastanesi.com/
Beykoz Hayvan Hastanesi,İstanbul,hastane,hospital,1,bilgi@bhh.com.tr,high,http://www.bhh.com.tr/
ANIMATE HAYVAN HASTANESİ,İstanbul,hastane,hospital,1,info@animate.com.tr,low,http://www.animate.com.tr/
İstanbulVet Veteriner Kliniği,İstanbul,muayenehane,solo,3,info@istvetklinik.com,high,https://istvetklinik.com/
VetPlus | 7/24 Nöbetçi Veteriner Kliniği,İstanbul,muayenehane,solo,3,info@vetplusveteriner.com,low,https://www.vetplusveteriner.com/
Vet Zone Veteriner Kliniği,İstanbul,muayenehane,solo,3,info@vetzoneveteriner.com,high,https://veteriner24.com/
,,,,,,,
Vet Center Veteriner Kliniği,İstanbul,muayenehane,solo,3,info@vet-center.com,low,https://www.vet-center.com/
Fatih Veteriner Kliniği,İstanbul,muayenehane,solo,3,info@benimkartim.com,low,https://benimkartim.com/emirmuntazam
Şişli Veteriner Kliniği,İstanbul,muayenehane,solo,3,info@sisliveteriner.net,high,https://sisliveteriner.net/
,,,,,,,
Animal Park Veteriner Kliniği 7/24 Acil Kadıköy / Göztepe / Feneryolu Nöbetçi Veteriner,İstanbul,muayenehane,solo,3,info@animalpark.com,high,https://animalpark.vet/
Bursa Vetropol Veteriner Kliniği ve Kalp Hastalıkları,Bursa,muayenehane,solo,3,info@vetropolbursa.com,low,http://vetropolbursa.com/
İçerenköy Veteriner Polikliniği,İstanbul,poliklinik,mid,1,info@icerenkoyveterinerklinigi.com,low,http://www.icerenkoyveterinerklinigi.com/
Terapist Veteriner Polikliniği,İstanbul,poliklinik,mid,1,info@terapistvtm.com.tr,low,http://www.terapistvtm.com.tr/
İzmir Veteriner Polikliniği,İzmir,poliklinik,mid,1,info@izmir.vet,low,http://www.izmir.vet/
NOVA VETERİNER POLİKLİNİĞİ,İzmir,poliklinik,mid,1,info@instagram.com,low,https://instagram.com/novavsm
Ege Vitalis Hayvan Hastanesi,İzmir,hastane,hospital,1,info@egevitalis.com,low,https://egevitalis.com/
Rönesans Veteriner Polikliniği,İzmir,poliklinik,mid,1,info@ronesansveteriner.com.tr,low,https://ronesansveteriner.com.tr/
İzmir Hayvan Hastanesi,İzmir,hastane,hospital,1,info@izmirhayvanhastanesi.com.tr,high,http://www.izmirhayvanhastanesi.com.tr/
BARIŞ VETERİNER KLİNİĞİ 7/24 ACİL VETERİNER,İstanbul,muayenehane,solo,3,info@barisveteriner.com,low,http://www.barisveteriner.com/
(ÇANAKKALE ACİL 7/24)Vetland Veteriner Kliniği (NÖBETÇİ - ACİL VETERİNER),İstanbul,muayenehane,solo,3,info@canakkalevetlandvet.com,low,https://www.canakkalevetlandvet.com/
Lima Veteriner Kliniği,İstanbul,muayenehane,solo,3,info@limavet.com,low,http://www.limavet.com/
Patinova Veteriner Kliniği Fatih,İstanbul,muayenehane,solo,3,patinovavet@gmail.com,high,https://www.patinovaveterinerklinigi.com/
VETCLASS KUŞ VE PET VETERİNER KLİNİĞİ,İstanbul,muayenehane,solo,3,info@vetclassveteriner.com,low,http://www.vetclassveteriner.com/
dr.paws veteriner kliniği,İstanbul,muayenehane,solo,3,dr.pawsveteriner@gmail.com,high,http://drpawsveteriner.com.tr/
Veteriner Medikal Park,İstanbul,muayenehane,solo,3,info@veterinermedikalpark.com,low,http://www.veterinermedikalpark.com/
Adakent Veteriner Kliniği,İstanbul,muayenehane,solo,3,info@adakentveteriner.com,low,http://www.adakentveteriner.com/
VETMEDİCA ÜSKÜDAR VETERİNER KLİNİĞİ - 7/24 ACİL VETERİNER,İstanbul,muayenehane,solo,3,info@vetmedicaklinigi.com,high,https://www.vetmedicaklinigi.com/
Bahar Veteriner Kliniği,İzmir,muayenehane,solo,3,info@baharveteriner.com,low,http://www.baharveteriner.com/
Alfa Veteriner Klinigi,İzmir,muayenehane,solo,3,info@alfaveteriner.com.tr,low,http://alfaveteriner.com.tr/
Lupa Veteriner Kliniği,İzmir,muayenehane,solo,3,info@lupaveteriner.com,low,https://lupaveteriner.com/
İzmir forvet veteriner kliniği,İzmir,muayenehane,solo,3,info@izmirforvetveterinerklinigi.com,low,http://izmirforvetveterinerklinigi.com/?utm_source=gmb&utm_medium=referral
Vetico Veteriner Kliniği 7/24,İzmir,muayenehane,solo,3,info@veticoveterinerklinigi.com,low,http://veticoveterinerklinigi.com/
Vosvet Veteriner Kliniği,İzmir,muayenehane,solo,3,izmirvosvet@gmail.com,high,https://www.vosvet.com/
Vet Plus Veteriner Kliniği,İzmir,muayenehane,solo,3,vetplusizmir@gmail.com,high,http://www.vetplusizmir.com/
VET plus Veteriner Polikliniği 7/24 Acil,Ankara,poliklinik,mid,1,info@vetplus.vet,low,http://www.vetplus.vet/
,,,,,,,
Başkent Hayvan Hastanesi,Ankara,hastane,hospital,1,info@baskenthayvanhastanesi.com,low,http://www.baskenthayvanhastanesi.com/
ANKA HAYVAN HASTANESİ,Ankara,hastane,hospital,1,info@ankahayvanhastanesi.com,high,http://www.ankahayvanhastanesi.com/
Keçiören Hayvan Hastanesi,Ankara,hastane,hospital,1,info@keciorenhayvanhastanesi.com.tr,high,http://keciorenhayvanhastanesi.com.tr/
REFERANS HAYVAN HASTANESİ,Ankara,hastane,hospital,1,referanshayvanhastanesi@gmail.com,high,http://www.referanshayvanhastanesi.com/
Metropolitan Hayvan Hastanesi,Ankara,hastane,hospital,1,info@mhh.com.tr,low,http://www.mhh.com.tr/
Eryaman Vena Hayvan Hastanesi - 7/24 Acil,Ankara,hastane,hospital,1,info@venahayvanhastanesi.com,high,https://venahayvanhastanesi.com/
VETCLINIC HAYVAN HASTANESI,Ankara,hastane,hospital,1,info@vetclinic.com.tr,low,http://vetclinic.com.tr/
Alacaatlı Veteriner - Westvet Hayvan Hastanesi,Ankara,hastane,hospital,1,bilgi@westvet.com.tr,high,https://www.westvet.com.tr/
Vetprime Hayvan Hastanesi,Ankara,hastane,hospital,1,info@vetprimehayvanhastanesi.com,high,http://vetprimehayvanhastanesi.com/
StarVet / Dikmen Veteriner Kliniği 7/24,Ankara,muayenehane,solo,3,info@starvetveteriner.com,low,http://starvetveteriner.com/
"Anka Çayyolu Veteriner Kliniği Alacaatlı , Ümitköy",Ankara,muayenehane,solo,3,info@cayyoluveteriner.com,high,https://www.cayyoluveteriner.com/
Petalya Veteriner Kliniği Çankaya Birlik,Ankara,muayenehane,solo,3,info@petalyavet.com,low,http://petalyavet.com/
Vetes Veteriner Kliniği,Ankara,muayenehane,solo,3,hi@vetesveteriner.com,high,https://vetesveteriner.com/
Balgat Veteriner Kliniği,Ankara,muayenehane,solo,3,info@balgatveteriner.com,low,http://www.balgatveteriner.com/
